,Participant,Group,Age,Imm_Del,Format ,Version_Online,Order,Score
1,OPH1,G1,3,0,1,1,1,12
2,OPH25,G1,2,0,1,1,1,16
3,OPH26,G1,1,0,1,1,1,16
4,OPH13,G5,3,0,1,1,1,8
5,OPH14,G5,2,0,1,1,1,14
6,OPH15,G5,1,0,1,1,1,19
7,OPH4,G2,3,0,1,0,1,15
8,OPH6,G2,1,0,1,0,1,13
9,OPH29,G2,2,0,1,0,1,15
10,OPH17,G6,2,0,1,0,1,17
11,OPH18,G6,1,0,1,0,1,9
12,OPH53,G6,3,0,1,0,1,7
13,OPH7,G3,3,0,1,1,0,13
14,OPH8,G3,3,0,1,1,0,11
15,OPH30,G3,2,0,1,1,0,10
16,OPH19,G7,3,0,1,1,0,9
17,OPH51,G7,2,0,1,1,0,17
18,OPH52,G7,1,0,1,1,0,16
19,OPH10,G4,3,0,1,0,0,20
20,OPH11,G4,2,0,1,0,0,9
21,OPH12,G4,1,0,1,0,0,24
22,OPH22,G8,3,0,1,0,0,18
23,OPH23,G8,2,0,1,0,0,23
24,OPH24,G8,1,0,1,0,0,21
1,OPH1,G1,3,0,0,1,1,18
2,OPH25,G1,2,0,0,1,1,18
3,OPH26,G1,1,0,0,1,1,11
4,OPH13,G5,3,0,0,1,1,13
5,OPH14,G5,2,0,0,1,1,14
6,OPH15,G5,1,0,0,1,1,21
7,OPH4,G2,3,0,0,0,1,6
8,OPH6,G2,1,0,0,0,1,15
9,OPH29,G2,2,0,0,0,1,19
10,OPH17,G6,2,0,0,0,1,21
11,OPH18,G6,1,0,0,0,1,8
12,OPH53,G6,3,0,0,0,1,19
13,OPH7,G3,3,0,0,1,0,11
14,OPH8,G3,3,0,0,1,0,18
15,OPH30,G3,2,0,0,1,0,13
16,OPH19,G7,3,0,0,1,0,18
17,OPH51,G7,2,0,0,1,0,16
18,OPH52,G7,1,0,0,1,0,18
19,OPH10,G4,3,0,0,0,0,19
20,OPH11,G4,2,0,0,0,0,15
21,OPH12,G4,1,0,0,0,0,19
22,OPH22,G8,3,0,0,0,0,14
23,OPH23,G8,2,0,0,0,0,20
24,OPH24,G8,1,0,0,0,0,14
1,OPH1,G1,3,1,1,1,1,11
2,OPH25,G1,2,1,1,1,1,15
3,OPH26,G1,1,1,1,1,1,15
4,OPH13,G5,3,1,1,1,1,7
5,OPH14,G5,2,1,1,1,1,11
6,OPH15,G5,1,1,1,1,1,15
7,OPH4,G2,3,1,1,0,1,11
8,OPH6,G2,1,1,1,0,1,14
9,OPH29,G2,2,1,1,0,1,12
10,OPH17,G6,2,1,1,0,1,17
11,OPH18,G6,1,1,1,0,1,9
12,OPH53,G6,3,1,1,0,1,6
13,OPH7,G3,3,1,1,1,0,13
14,OPH8,G3,3,1,1,1,0,11
15,OPH30,G3,2,1,1,1,0,14
16,OPH19,G7,3,1,1,1,0,5
17,OPH51,G7,2,1,1,1,0,17
18,OPH52,G7,1,1,1,1,0,16
19,OPH10,G4,3,1,1,0,0,21
20,OPH11,G4,2,1,1,0,0,6
21,OPH12,G4,1,1,1,0,0,24
22,OPH22,G8,3,1,1,0,0,16
23,OPH23,G8,2,1,1,0,0,22
24,OPH24,G8,1,1,1,0,0,18
1,OPH1,G1,3,1,0,1,1,15
2,OPH25,G1,2,1,0,1,1,17
3,OPH26,G1,1,1,0,1,1,11
4,OPH13,G5,3,1,0,1,1,13
5,OPH14,G5,2,1,0,1,1,10
6,OPH15,G5,1,1,0,1,1,15
7,OPH4,G2,3,1,0,0,1,6
8,OPH6,G2,1,1,0,0,1,12
9,OPH29,G2,2,1,0,0,1,20
10,OPH17,G6,2,1,0,0,1,18
11,OPH18,G6,1,1,0,0,1,9
12,OPH53,G6,3,1,0,0,1,15
13,OPH7,G3,3,1,0,1,0,10
14,OPH8,G3,3,1,0,1,0,15
15,OPH30,G3,2,1,0,1,0,11
16,OPH19,G7,3,1,0,1,0,14
17,OPH51,G7,2,1,0,1,0,17
18,OPH52,G7,1,1,0,1,0,18
19,OPH10,G4,3,1,0,0,0,20
20,OPH11,G4,2,1,0,0,0,10
21,OPH12,G4,1,1,0,0,0,20
22,OPH22,G8,3,1,0,0,0,16
23,OPH23,G8,2,1,0,0,0,18
24,OPH24,G8,1,1,0,0,0,4
